@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1689,'2017/11/30 12:02:57:721',3,1,0.961905,0.929182,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1690,'2017/11/30 12:02:57:721',3,1,0.961905,0.929182,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1691,'2017/11/30 12:02:57:721',3,1,0.961661,0.929182,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1692,'2017/11/30 12:02:57:721',3,1,0.961661,0.929182,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1693,'2017/11/30 12:02:57:746',3,1,0.961661,0.929182,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1694,'2017/11/30 12:02:57:746',3,1,0.961661,0.929182,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1695,'2017/11/30 12:02:57:746',3,1,0.961661,0.929182,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1696,'2017/11/30 12:02:57:746',3,1,0.961661,0.929182,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1697,'2017/11/30 12:02:57:771',3,1,0.961661,0.929182,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1698,'2017/11/30 12:02:57:771',3,1,0.961661,0.928205,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1699,'2017/11/30 12:02:57:771',3,1,0.961172,0.928205,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1700,'2017/11/30 12:02:57:771',3,1,0.961172,0.928205,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1701,'2017/11/30 12:02:57:796',3,1,0.961172,0.928205,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1702,'2017/11/30 12:02:57:796',3,1,0.961172,0.927473,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1703,'2017/11/30 12:02:57:796',3,1,0.961172,0.927473,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1704,'2017/11/30 12:02:57:796',3,1,0.961172,0.927473,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1705,'2017/11/30 12:02:57:821',3,1,0.961172,0.927473,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1706,'2017/11/30 12:02:57:821',3,1,0.961172,0.928694,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1707,'2017/11/30 12:02:57:821',3,1,0.961661,0.928694,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1708,'2017/11/30 12:02:57:821',3,1,0.961661,0.928694,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1709,'2017/11/30 12:02:57:846',3,1,0.961661,0.928694,0.992157,1,0.037708,0.487195,0.238495,0.858349,0.517736
1710,'2017/11/30 12:02:57:846',3,1,0.961661,0.928938,0.992157,1,0.037708,0.487195,0.238495,0.858349,0.517736
1711,'2017/11/30 12:02:57:846',3,1,0.961905,0.928938,0.992157,1,0.037708,0.487195,0.238495,0.858349,0.517736
1712,'2017/11/30 12:02:57:846',3,1,0.961905,0.928938,0.992157,1,0.037708,0.487195,0.238495,0.858349,0.517736
1713,'2017/11/30 12:02:57:871',3,1,0.961905,0.928938,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1714,'2017/11/30 12:02:57:871',3,1,0.961905,0.929182,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1715,'2017/11/30 12:02:57:871',3,1,0.961661,0.929182,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1716,'2017/11/30 12:02:57:871',3,1,0.961661,0.929182,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1717,'2017/11/30 12:02:57:896',3,1,0.961661,0.929182,0.988235,1,0.037708,0.487195,0.238495,0.858349,0.517736
1718,'2017/11/30 12:02:57:896',3,1,0.961661,0.929182,0.988235,1,0.037708,0.487195,0.238495,0.858349,0.517736
1719,'2017/11/30 12:02:57:896',3,1,0.961905,0.929182,0.988235,1,0.037708,0.487195,0.238495,0.858349,0.517736
1720,'2017/11/30 12:02:57:896',3,1,0.961905,0.929182,0.988235,1,0.037708,0.487195,0.238495,0.858349,0.517736
1721,'2017/11/30 12:02:57:921',3,1,0.961905,0.929182,0.956863,1,0.037708,0.487195,0.238495,0.858349,0.517736
1722,'2017/11/30 12:02:57:921',3,1,0.961905,0.930891,0.956863,1,0.037708,0.487195,0.238495,0.858349,0.517736
1723,'2017/11/30 12:02:57:921',3,1,0.962393,0.930891,0.956863,1,0.037708,0.487195,0.238495,0.858349,0.517736
1724,'2017/11/30 12:02:57:921',3,1,0.962393,0.930891,0.956863,1,0.037708,0.487195,0.238495,0.858349,0.517736
1725,'2017/11/30 12:02:57:949',3,1,0.962393,0.930891,0.960784,1,0.037708,0.487195,0.238495,0.858349,0.517736
1726,'2017/11/30 12:02:57:949',3,1,0.962393,0.931136,0.960784,1,0.037708,0.487195,0.238495,0.858349,0.517736
1727,'2017/11/30 12:02:57:949',3,1,0.962393,0.931136,0.960784,1,0.037708,0.487195,0.238495,0.858349,0.517736
1728,'2017/11/30 12:02:57:949',3,1,0.962393,0.931136,0.960784,1,0.037708,0.487195,0.238495,0.858349,0.517736
1729,'2017/11/30 12:02:57:971',3,1,0.962393,0.931136,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1730,'2017/11/30 12:02:57:971',3,1,0.962393,0.930403,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1731,'2017/11/30 12:02:57:971',3,1,0.961905,0.930403,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1732,'2017/11/30 12:02:57:971',3,1,0.961905,0.930403,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1733,'2017/11/30 12:02:57:996',3,1,0.961905,0.930403,0.960784,1,0.037708,0.487195,0.238495,0.858349,0.517736
1734,'2017/11/30 12:02:57:996',3,1,0.961905,0.930159,0.960784,1,0.037708,0.487195,0.238495,0.858349,0.517736
1735,'2017/11/30 12:02:57:996',3,1,0.962393,0.930159,0.960784,1,0.037708,0.487195,0.238495,0.858349,0.517736
1736,'2017/11/30 12:02:57:996',3,1,0.962393,0.930159,0.960784,1,0.037708,0.487195,0.238495,0.858349,0.517736
1737,'2017/11/30 12:02:58:021',3,1,0.962393,0.930159,0.94902,1,0.037708,0.487195,0.238495,0.858349,0.517736
1738,'2017/11/30 12:02:58:021',3,1,0.962393,0.93138,0.94902,1,0.037708,0.487195,0.238495,0.858349,0.517736
1739,'2017/11/30 12:02:58:021',3,1,0.962882,0.93138,0.94902,1,0.037708,0.487195,0.238495,0.858349,0.517736
1740,'2017/11/30 12:02:58:021',3,1,0.962882,0.93138,0.94902,1,0.037708,0.487195,0.238495,0.858349,0.517736
1741,'2017/11/30 12:02:58:047',3,1,0.962882,0.93138,0.952941,1,0.037708,0.487195,0.238495,0.858349,0.517736
1742,'2017/11/30 12:02:58:047',3,1,0.962882,0.93138,0.952941,1,0.037708,0.487195,0.238495,0.858349,0.517736
1743,'2017/11/30 12:02:58:047',3,1,0.963126,0.93138,0.952941,1,0.037708,0.487195,0.238495,0.858349,0.517736
1744,'2017/11/30 12:02:58:047',3,1,0.963126,0.93138,0.952941,1,0.037708,0.487195,0.238495,0.858349,0.517736
1745,'2017/11/30 12:02:58:071',3,1,0.963126,0.93138,0.952941,1,0.037708,0.487195,0.238495,0.858349,0.517736
1746,'2017/11/30 12:02:58:071',3,1,0.963126,0.930891,0.952941,1,0.037708,0.487195,0.238495,0.858349,0.517736
